[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1507043426.059000 10/3/2017, 11:10:26 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, PMO
INFO, WEIGHT, 6.800
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: MvsH_up_quick_500eO.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1507058224.523,,2.200000e+001,2.999996e+002,3.102786e-002,1.051281e-007,3,9.899470e-001,3.388185e-004,,,,,,,,,,,,,,24,3,4.000000e+000,9.613037e-003,0.000000e+000,0,,0,
1507058344.518,,2.000000e+001,2.999932e+002,3.068734e-002,6.528631e-007,3,9.899058e-001,2.127467e-003,,,,,,,,,,,,,,24,3,4.000000e+000,1.919556e-002,0.000000e+000,0,,0,
1507058471.930,,1.800000e+001,2.999932e+002,3.030924e-002,1.224727e-006,3,9.898226e-001,4.040772e-003,,,,,,,,,,,,,,24,3,4.000000e+000,1.919556e-002,0.000000e+000,0,,0,
1507058592.111,,1.600000e+001,3.000012e+002,2.994001e-002,1.237841e-006,3,9.897619e-001,4.134404e-003,,,,,,,,,,,,,,24,3,4.000000e+000,1.931763e-002,0.000000e+000,0,,0,
1507058718.751,,1.400000e+001,2.999996e+002,2.948862e-002,1.393948e-006,3,9.896960e-001,4.727070e-003,,,,,,,,,,,,,,24,3,4.000000e+000,2.890015e-002,0.000000e+000,0,,0,
1507058839.729,,1.200000e+001,2.999996e+002,2.901277e-002,1.020636e-006,3,9.896102e-001,3.517886e-003,,,,,,,,,,,,,,24,3,4.000000e+000,9.613037e-003,0.000000e+000,0,,0,
1507058966.991,,1.000000e+001,2.999964e+002,2.841373e-002,1.553764e-006,3,9.895064e-001,5.468355e-003,,,,,,,,,,,,,,24,3,4.000000e+000,2.880859e-002,0.000000e+000,0,,0,
1507059095.002,,8.000000e+000,2.999980e+002,2.768672e-002,1.176497e-006,3,9.892917e-001,4.249318e-003,,,,,,,,,,,,,,24,3,4.000000e+000,9.613037e-003,0.000000e+000,0,,0,
1507059216.074,,6.000000e+000,2.999996e+002,2.688433e-002,1.502694e-007,3,9.891416e-001,5.589480e-004,,,,,,,,,,,,,,24,3,4.000000e+000,9.613037e-003,0.000000e+000,0,,0,
1507059336.665,,4.000000e+000,2.999948e+002,2.583327e-002,1.993930e-006,3,9.888653e-001,7.718456e-003,,,,,,,,,,,,,,24,3,4.000000e+000,9.613037e-003,0.000000e+000,0,,0,
